user_id,country,topic_category,account_created_date,followers_count,following_count,likes_count,shares_count,posts_count,verified
1001,USA,tech,01-01-1900,80299,1028,1337,251,516,TRUE
1002,USA,tech,01-01-1900,1111,4658,947,50,857,FALSE
1003,Germany,politics,01-01-1900,21733,2524,52,405,142,FALSE
1006,Germany,finance,01-01-1900,42405,4455,628,217,92,FALSE
1008,USA,politics,01-01-1900,94515,1535,1007,92,337,FALSE
1009,Germany,Unknown,01-01-1900,19075,2524,887,270,3,TRUE
1013,Canada,finance,01-01-1900,54958,2524,1023,251,950,TRUE
1014,Unknown,tech,01-01-1900,52495,1841,1983,222,293,TRUE
1015,Canada,tech,01-01-1900,24523,3071,1146,207,494,FALSE
1019,UK,politics,01-01-1900,67034,4919,920,156,554,TRUE
1020,Canada,tech,01-01-1900,32239,1807,1459,88,495,TRUE
1022,USA,tech,01-01-1900,27313,2524,443,86,800,FALSE
1026,Canada,politics,01-01-1900,70827,2389,851,5,106,TRUE
1028,UK,Unknown,01-01-1900,18989,391,1911,274,702,FALSE
1029,India,sports,01-01-1900,19069,1855,1823,285,680,TRUE
1033,UK,politics,01-01-1900,66312,502,1792,271,554,FALSE
1034,Germany,Unknown,01-01-1900,7120,4693,1132,17,783,TRUE
1035,India,finance,01-01-1900,96637,2524,1916,304,495,TRUE
1038,UK,sports,01-01-1900,92287,354,107,139,831,TRUE
1039,UK,tech,01-01-1900,91819,892,845,266,956,FALSE
1040,USA,finance,01-01-1900,21381,4511,1352,28,381,FALSE
1042,Germany,politics,01-01-1900,6187,4158,1746,104,364,FALSE
1045,UK,tech,01-01-1900,36841,4474,1064,382,640,FALSE
1046,USA,finance,01-01-1900,32901,3838,1334,234,889,FALSE
1051,Germany,finance,01-01-1900,6501,3280,411,230,683,TRUE
1053,Canada,finance,01-01-1900,23832,4465,1148,269,400,FALSE
1054,Germany,finance,01-01-1900,45304,2404,1091,46,975,FALSE
1058,USA,tech,01-01-1900,70888,2663,659,47,302,FALSE
1068,Germany,politics,01-01-1900,77781,3307,1832,333,82,FALSE
1069,UK,finance,01-01-1900,88675,200,984,294,210,TRUE
1071,USA,tech,01-01-1900,25649,2897,1477,251,950,FALSE
1073,USA,tech,01-01-1900,49673,1894,1155,249,489,TRUE
1076,Canada,finance,01-01-1900,60041,4825,959,266,669,FALSE
1078,India,finance,01-01-1900,52205,1366,899,236,878,TRUE
1084,India,tech,01-01-1900,18781,4774,983,426,892,TRUE
1091,UK,tech,01-01-1900,6840,4454,1021,251,199,FALSE
1092,UK,sports,01-01-1900,927,225,726,368,319,FALSE
1094,UK,finance,01-01-1900,93589,2094,9,458,999,FALSE
1097,USA,sports,01-01-1900,25865,664,395,47,395,FALSE
1098,Germany,politics,01-01-1900,96984,4854,1960,199,497,TRUE
1099,Germany,finance,01-01-1900,81773,3708,1338,407,681,TRUE
1100,USA,tech,01-01-1900,83498,4787,983,252,136,FALSE
1102,India,sports,01-01-1900,87917,3263,1981,18,430,TRUE
1103,India,politics,01-01-1900,65559,2622,1100,200,916,TRUE
1105,UK,finance,01-01-1900,9074,969,1355,249,751,TRUE
1107,USA,sports,01-01-1900,94809,2989,1470,234,435,FALSE
1112,USA,sports,01-01-1900,66428,4607,538,426,301,TRUE
1114,India,politics,01-01-1900,35401,107,1642,167,150,TRUE
1115,UK,sports,01-01-1900,39268,2650,753,25,841,FALSE
1117,UK,finance,01-01-1900,1861,3413,516,148,309,TRUE
1119,India,sports,01-01-1900,13887,1241,1549,251,56,TRUE
1124,USA,politics,01-01-1900,62860,1370,1013,196,690,TRUE
1131,UK,tech,01-01-1900,84982,666,1612,45,616,TRUE
1133,USA,tech,01-01-1900,87610,4253,1206,443,906,TRUE
1134,India,Unknown,01-01-1900,76023,177,1729,108,303,TRUE
1138,Germany,finance,01-01-1900,28133,1305,260,498,620,TRUE
1140,Canada,tech,01-01-1900,1319,4614,1552,126,401,TRUE
1142,Canada,finance,01-01-1900,88045,898,1486,169,583,FALSE
1144,India,tech,01-01-1900,53267,798,918,361,145,TRUE
1145,USA,politics,01-01-1900,23779,2524,412,222,660,FALSE
1146,Germany,politics,01-01-1900,24539,2524,983,141,43,TRUE
1148,Germany,Unknown,01-01-1900,99892,1621,1417,325,45,TRUE
1150,USA,sports,01-01-1900,99527,4792,1530,459,49,TRUE
1159,UK,sports,01-01-1900,89775,463,1922,69,495,FALSE
1160,UK,finance,01-01-1900,20438,3879,907,251,864,TRUE
1162,Germany,tech,01-01-1900,12361,4842,1174,49,668,FALSE
1163,USA,tech,01-01-1900,34093,2524,82,117,502,TRUE
1164,UK,finance,01-01-1900,5253,4483,559,487,686,TRUE
1167,Canada,politics,01-01-1900,51224,2524,148,281,861,TRUE
1170,UK,finance,01-01-1900,74927,738,1075,439,840,FALSE
1172,UK,sports,01-01-1900,82665,283,1945,429,226,TRUE
1174,UK,sports,01-01-1900,25285,4763,1189,254,679,FALSE
1175,India,finance,01-01-1900,55441,248,692,251,433,TRUE
1179,USA,tech,01-01-1900,83430,1750,949,149,115,TRUE
1180,USA,finance,01-01-1900,88093,4729,1064,492,983,TRUE
1182,India,sports,01-01-1900,56454,1206,587,383,430,FALSE
1183,Canada,finance,01-01-1900,54871,2192,571,135,630,FALSE
1185,USA,finance,01-01-1900,50638,2524,1541,210,479,TRUE
1186,USA,sports,01-01-1900,85377,2524,1025,186,255,TRUE
